Nível,Nome do Elemento <XML Tag>,Nome no Brasil,Mult. ISO,Mult. Brasil,OR Brasil,Tipo Base,Tamanho no Brasil,Definição,Comentários,Regra para o Brasil
0, <FIToFICstmrCdtTrf>,,[1..1],[1..1],,±,,,Código da mensagem,
1,GroupHeader <GrpHdr>,,[1..1],[1..1],,±,,Common characteristics for all individual transactions included in the message,Conjunto de elementos do cabeçalho da mensagem,
2,    MessageIdentification <MsgId>,idMensagem,[1..1],[1..1],,Text,32 caracteres alfanuméricos,"Definition: Point to point reference, as assigned by the instructing party, and sent to the next party in the chain to unambiguously identify the message.
Usage: The instructing party has to make sure that MessageIdentification is unique per instructed party for a pre-agreed period.",Identificação única de cada mensagem enviada,"Deve ser preenchido no formato padrão Mxxxxxxxxkkkkkkkkkkkkkkkkkkkkkkk (32 caracteres; ""case sensitive"", isso é, diferencia letras maiúsculas e minúsculas). Considerando que:
-  M: fixo (1 caractere); 
- xxxxxxxx: ISPB do emissor da mensagem  (8 caracteres alfanuméricos [0-9A-Z]{8});
- kkkkkkkkkkkkkkkkkkkkkkk:  23 caracteres alfanuméricos [a-z|A-Z|0-9]{23};
O participante direto do SPI deve garantir que o <MsgId> gerado por ele seja único, não se repetindo em qualquer outra mensagem enviada ao sistema."
2,    CreationDateTime <CreDtTm>,dataHoraCriacaoParaEmissao,[1..1],[1..1],,DateTime,YYYY-MM-DD'T'hh:mm:ss.sss'Z',Date and time at which the message was created.,"Data e hora de criação da mensagem pelo participante durante o processo de emissão ao sistema de liquidação, ou data e hora de criação da mensagem pelo sistema de liquidação durante o processo de emissão ao participante.",Deve ser preenchido no formato padrão UTC (YYYY-MM-DD'T'hh:mm:ss.sss'Z')
2,    NumberOfTransactions <NbOfTxs>,quantidadeTransacoes,[1..1],[1..1],,Numeric,Máximo 15 caracteres numéricos,Number of individual transactions contained in the message,Quantidade de instruções de pagamento (transações) incluídas na mensagem.,"Campo obrigatório deve ser preenchido com o valor maior ou igual a ""1""  (NbOfTxs >=1)."
2,    SettlementInformation <SttlmInf>,,[1..1],[1..1],,±,,,,
3,        SettlementMethod <SttlmMtd>,metodoLiquidacao,[1..1],[1..1],,CodeSet,4 caracteres alfanuméricos,Method used to settle the (batch of) payment instructions.,Conjunto de Elementos para indicar o Método usado para liquidar as instruções de pagamento.,Campo obrigatório deve ser preenchido com a opção estabelecida na tabela de domínios.
2,    PaymentTypeInformation <PmtTpInf>,,[0..1],[1..1],,±,,,,
3,        InstructionPriority <InstrPrty>,prioridadePagamento,[0..1],[1..1],,CodeSet,4 caracteres alfanuméricos,Indicator of the urgency or order of importance that the instructing party would like the instructed party to apply to the processing of the instruction.,Conjunto de Elementos usado para Indicadar liquidação prioritária ou não prioritária.,Deve ser preenchido com uma das opções estabelecidas na tabela de domínios.
3,        ServiceLevel <SvcLvl>,,[0..*],[1..1],,±,,Agreement under which or rules under which the transaction should be processed.,,
