Nível,Nome do Elemento <XML Tag>,Nome no Brasil,Mult. ISO,Mult. Brasil,OR Brasil,Tipo Base,Tamanho no Brasil,Definição,Comentários,Regra para o Brasil
0, <FIToFIPmtStsRpt>,,[1..1],[1..1],,±,,,,
1,GroupHeader <GrpHdr>,,[1..1],[1..1],,±,,Set of characteristics shared by all individual transactions included in the status report message.,Conjunto de elementos do cabeçalho da mensagem,
2,    MessageIdentification <MsgId>,idMensagem,[1..1],[1..1],,Text,32 caracteres alfanuméricos,"Definition: Point to point reference, as assigned by the instructing party, and sent to the next party in the
chain to unambiguously identify the message.
Usage: The instructing party has to make sure that MessageIdentification is unique per instructed party for a pre-agreed period.",Identificação única de cada mensagem enviada,"Deve ser preenchido no formato padrão Mxxxxxxxxkkkkkkkkkkkkkkkkkkkkkkk (32 caracteres; case sensitive, isso é, diferencia letras maiúsculas e minúsculas). Considerando que:
- M: fixo (1 caractere); 
- xxxxxxxx: ISPB do emissor da mensagem  (8 caracteres alfanuméricos [0-9A-Z]{8});
- kkkkkkkkkkkkkkkkkkkkkkk:  23 caracteres alfanuméricos [a-z|A-Z|0-9]{23};
O participante direto do SPI deve garantir que o <MsgId> gerado por ele seja único, não se repetindo em qualquer outra mensagem enviada ao sistema."
2,    CreationDateTime <CreDtTm>,dataHoraCriacaoParaEmissao,[1..1],[1..1],,DateTime,YYYY-MM-DD'T'hh:mm:ss.sss'Z',Date and time at which the message was created.,"Data e hora de criação da mensagem pelo participante durante o processo de emissão ao sistema de liquidação, ou data e hora de criação da mensagem pelo sistema de liquidação durante o processo de emissão ao participante.",Deve ser preenchido no formato padrão UTC (YYYY-MM-DD'T'hh:mm:ss.sss'Z')
1,TransactionInformationAndStatus <TxInfAndSts>,,[0..*],[1..*],,±,,"Information concerning the original transactions, to which the status report message refers.","Conjunto de elementos com Informações sobre as transações originais, às quais a mensagem do relatório de status se refere.",Campo Obrigatório.
2,    OriginalInstructionIdentification <OrgnlInstrId>,idInstrucaoOriginal,[0..1],[1..1],,Text,32 caracteres alfanuméricos,"Unique identification, as assigned by the original instructing party for the original instructed party, to unambiguously identify the original instruction.",Identificação única da instrução de pagamento ou de sua devolução.,"O campo deve ser preenchido com o:
- EndToEndIdentification <EndToEndId> da pacs.008 original,  caso a resposta for originada de uma mensagem de instrução de pagamento, ou;                                                                                                                                   - ReturnIdentification <RtrId> da pacs.004 original, caso a resposta for originada de uma mensagem de devolução."
2,    OriginalEndToEndIdentification <OrgnlEndToEndId>,idFimAFimOriginal,[0..1],[1..1],,Text,32 caracteres alfanuméricos,Unambiguously identify the reported status.,Identificação única do evento. Esse número é usado em toda a cadeia de mensagens de uma instrução de pagamento ou de sua devolução.,O campo deve ser preenchido com o <EndToEndId> da mensagem original (pacs.008 ou pacs.004).
2,    TransactionStatus <TxSts>,situacaoDaTransacao,[0..1],[1..1],,CodeSet,4 caracteres alfanuméricos,"Specifies the status of a transaction, in a coded form.","Especifica o status de uma transação, em um formato codificado.",Deve ser preenchido com uma das opções estabelecidas na tabela de domínios.
2,    StatusReasonInformation <StsRsnInf>,,[0..*],[0..*],,±,,,,
3,        Reason <Rsn>,,[0..1],[0..1],,±,,,,
4,            Code <Cd>,codigoDeErro,[1..1],[1..1],,CodeSet,4 caracteres alfanuméricos,Provides detailed information on the status reason.,"Conjunto de elementos que fornece informações detalhadas sobre o motivo do status, caso o status não seja positivo.",Campo opcional. Deve ser preenchido com os códigos de erros estabelecidas na tabela de domínios.
3,        AdditionalInformation <AddtlInf>,detalhamentoDoErro,[0..*],[0..*],,Text,Máximo 105 caracteres alfanuméricos,Further details on the status reason,Informações complementares sobre o motivo do status,Campo opcional. Deve ser preenchido com informações adicionais sobre o erro ocorrido.
2,    EffectiveInterbankSettlementDate <FctvIntrBkSttlmDt>,,[0..1],[0..1],,±,,,,
3,        DateTime <DtTm>,dataHoraLiquidacao,[1..1],[1..1],,DateTime,YYYY-MM-DD'T'hh:mm:ss.sss'Z',"Date and time at which a transaction is completed and cleared, that is, payment is effected.","Conjunto de elementos usado para informar a data e o horário da efetiva liquidação, caso ela tenha ocorrido.",Campo opcional usado somente pelo SPI  após efetiva liquidação da instrução de pagamento. Não deve ser preenchido pelos participantes. Data-hora no formato padrão UTC (YYYY-MM-DD'T'hh:mm:ss.sss'Z').
2,    OriginalTransactionReference <OrgnlTxRef>,,[0..1],[0..1],,±,,,,
3,        InterbankSettlementDate <IntrBkSttlmDt>,dataContabil,[0..1],[1..1],,Date,YYYY-MM-DD,Key elements used to identify the original transaction that is being referred to.,Conjunto de Elementos usados para identificar a Data do Movimento Contábil,"Campo opcional usado somente pelo SPI, para informar a data em que a instrução de pagamento foi contabilizada. Não deve ser preenchido pelos participantes. Data no formato padrão YYYY-MM-DD."
